Region,Population,Net_migration,Infant_mortality_per_1000_births,GDP,Literacy_percent,Arable_percent,Birthrate,Deathrate
LATIN AMER. & CARIB    ,9439,0.0,7.35,3400.0,97.0,20.0,17.59,7.1
NORTHERN AFRICA                    ,33241259,-0.98,41.62,4000.0,51.7,19.61,21.98,5.58
SUB-SAHARAN AFRICA                 ,19686505,0.0,130.79,1200.0,47.8,5.1,35.18,21.35
SUB-SAHARAN AFRICA                 ,2044147,0.0,48.98,7200.0,84.0,0.99,24.32,18.86
OCEANIA                            ,13287,0.0,9.95,5000.0,,0.0,24.76,6.7
ASIA (EX. NEAR EAST)         ,28287147,0.0,66.98,1400.0,45.2,21.68,30.98,9.31
WESTERN EUROPE                     ,16491461,2.91,5.04,28600.0,99.0,26.71,10.9,8.68
LATIN AMER. & CARIB    ,221736,-0.41,10.03,11400.0,96.7,10.0,14.78,6.45
OCEANIA                            ,219246,0.0,7.72,15000.0,91.0,0.38,18.11,5.69
OCEANIA                            ,4076140,4.05,5.85,21600.0,99.0,5.6,13.76,7.53
LATIN AMER. & CARIB    ,5570129,-1.22,29.11,2300.0,67.5,15.94,24.51,4.45
SUB-SAHARAN AFRICA                 ,12525094,-0.67,121.69,800.0,17.6,3.54,50.73,20.91
SUB-SAHARAN AFRICA                 ,131859731,0.26,98.8,900.0,68.0,31.29,40.43,16.94
OCEANIA                            ,82459,9.61,7.11,12500.0,97.0,13.04,19.43,2.29
WESTERN EUROPE                     ,4610820,1.74,3.7,37800.0,100.0,2.87,11.46,9.4
NEAR EAST                          ,3102229,0.28,19.51,13100.0,75.8,0.0,36.24,3.81
ASIA (EX. NEAR EAST)         ,165803560,-2.77,72.44,2100.0,45.7,27.87,29.74,8.23
OCEANIA                            ,20579,2.85,14.84,9000.0,92.0,8.7,18.03,6.8
LATIN AMER. & CARIB    ,3191319,-0.91,20.47,6300.0,92.6,7.36,21.74,5.36
OCEANIA                            ,5670544,0.0,51.45,2200.0,64.6,0.46,29.36,7.25
LATIN AMER. & CARIB    ,6506464,-0.08,25.63,4700.0,94.0,7.6,29.1,4.49
LATIN AMER. & CARIB    ,28302603,-1.05,31.94,5100.0,90.9,2.89,20.48,6.23
ASIA (EX. NEAR EAST)         ,89468677,-1.5,23.51,4600.0,92.6,18.95,24.89,5.41
EASTERN EUROPE                     ,38536869,-0.49,8.51,11100.0,99.8,45.91,9.85,9.89
WESTERN EUROPE                     ,10605870,3.57,5.05,18000.0,93.3,21.75,10.72,10.5
LATIN AMER. & CARIB    ,3927188,-1.46,8.24,16800.0,94.1,3.95,12.77,7.65
NEAR EAST                          ,885359,16.29,18.61,21500.0,82.5,1.64,15.56,4.72
SUB-SAHARAN AFRICA                 ,787584,0.0,7.78,5800.0,88.9,13.6,18.9,5.49
EASTERN EUROPE                     ,22303552,-0.13,26.43,7000.0,98.4,40.82,10.7,11.77
C.W. OF IND. STATES ,142893540,1.02,15.39,8900.0,99.6,7.33,9.95,14.65
SUB-SAHARAN AFRICA                 ,8648248,0.0,91.23,1300.0,70.4,40.54,40.37,16.09
SUB-SAHARAN AFRICA                 ,7502,0.0,19.0,2500.0,97.0,12.9,12.13,6.53
LATIN AMER. & CARIB    ,39129,-7.11,14.49,8800.0,97.0,19.44,18.02,8.33
LATIN AMER. & CARIB    ,168458,-2.67,13.53,5400.0,67.0,6.56,19.68,5.08
NORTHERN AMERICA                   ,7026,-4.86,7.54,6900.0,99.0,13.04,13.52,6.83
LATIN AMER. & CARIB    ,117848,-7.64,14.78,2900.0,96.0,17.95,16.18,5.98
OCEANIA                            ,176908,-11.7,27.71,5600.0,99.7,21.2,16.43,6.62
WESTERN EUROPE                     ,29251,10.98,5.73,34600.0,96.0,16.67,10.02,8.17
SUB-SAHARAN AFRICA                 ,193413,-2.72,43.11,1200.0,79.3,6.25,40.25,6.47
NEAR EAST                          ,27019731,-2.71,13.24,11800.0,78.8,1.67,29.34,2.58
SUB-SAHARAN AFRICA                 ,11987121,0.2,55.51,1600.0,40.2,12.78,32.78,9.42
EASTERN EUROPE                     ,9396411,-1.33,12.89,2200.0,93.0,33.35,,
SUB-SAHARAN AFRICA                 ,81541,-5.69,15.53,7800.0,58.0,2.22,16.03,6.29
SUB-SAHARAN AFRICA                 ,6005250,0.0,143.64,500.0,31.4,6.98,45.76,23.03
ASIA (EX. NEAR EAST)         ,4492150,11.53,2.29,23700.0,92.5,1.64,9.34,4.28
EASTERN EUROPE                     ,5439448,0.3,7.41,13300.0,,30.16,10.65,9.45
EASTERN EUROPE                     ,2010347,1.12,4.45,19000.0,99.7,8.6,8.98,10.31
OCEANIA                            ,552438,0.0,21.29,1700.0,,0.64,30.01,3.92
SUB-SAHARAN AFRICA                 ,8863338,5.37,116.7,500.0,37.8,1.67,45.13,16.63
SUB-SAHARAN AFRICA                 ,44187637,-0.29,61.81,10700.0,86.4,12.08,18.2,22.0
WESTERN EUROPE                     ,40397842,0.99,4.42,22000.0,97.9,26.07,10.06,9.72
ASIA (EX. NEAR EAST)         ,20222240,-1.31,14.35,3700.0,92.3,13.86,15.51,6.52
SUB-SAHARAN AFRICA                 ,41236378,-0.02,62.5,1900.0,61.1,6.83,34.53,8.97
LATIN AMER. & CARIB    ,439117,-8.81,23.57,4000.0,93.0,0.37,18.02,7.27
SUB-SAHARAN AFRICA                 ,1136334,0.0,69.27,4900.0,81.6,10.35,27.41,29.74
WESTERN EUROPE                     ,9016596,1.67,2.77,26800.0,99.0,6.54,10.27,10.31
WESTERN EUROPE                     ,7523934,4.05,4.39,32700.0,99.0,10.42,9.71,8.49
NEAR EAST                          ,18881361,0.0,29.53,3300.0,76.9,25.22,27.76,4.81
ASIA (EX. NEAR EAST)         ,23036087,0.0,6.4,23400.0,96.1,24.0,12.56,6.48
C.W. OF IND. STATES ,7320815,-2.86,110.76,1000.0,99.4,6.61,32.65,8.25
SUB-SAHARAN AFRICA                 ,37445392,-2.06,98.54,600.0,78.2,4.52,37.71,16.39
ASIA (EX. NEAR EAST)         ,64631595,0.0,20.48,7400.0,92.6,29.36,13.87,7.04
SUB-SAHARAN AFRICA                 ,5548702,0.0,66.61,1500.0,60.9,46.15,37.01,9.83
OCEANIA                            ,114689,0.0,12.62,2200.0,98.5,23.61,25.37,5.28
LATIN AMER. & CARIB    ,1065842,-10.83,24.31,9500.0,98.6,14.62,12.9,10.57
NORTHERN AFRICA                    ,10175014,-0.57,24.77,6900.0,74.2,17.86,15.52,5.13
NEAR EAST                          ,70413958,0.0,41.04,6700.0,86.5,30.93,16.62,5.97
C.W. OF IND. STATES ,5042920,-0.86,73.08,5800.0,98.0,3.72,27.61,8.6
LATIN AMER. & CARIB    ,21152,11.68,15.67,9600.0,98.0,2.33,21.84,4.21
OCEANIA                            ,11810,0.0,20.03,1100.0,,0.0,22.18,7.11
SUB-SAHARAN AFRICA                 ,28195754,0.0,67.83,1400.0,69.9,25.88,47.35,12.24
C.W. OF IND. STATES ,46710816,-0.39,20.34,5400.0,99.7,56.21,8.82,14.39
NEAR EAST                          ,2602713,1.03,14.51,23200.0,77.9,0.6,18.96,4.4
WESTERN EUROPE                     ,60609153,2.19,5.16,27700.0,99.0,23.46,10.71,10.13
NORTHERN AMERICA                   ,298444215,3.41,6.5,37800.0,97.0,19.13,14.14,8.26
LATIN AMER. & CARIB    ,3431932,-0.32,11.95,12800.0,98.0,7.43,13.91,9.05
C.W. OF IND. STATES ,27307134,-1.72,71.1,1700.0,99.3,10.83,26.36,7.84
OCEANIA                            ,208869,0.0,55.16,2900.0,53.0,2.46,22.72,7.82
LATIN AMER. & CARIB    ,25730435,-0.04,22.2,4800.0,93.4,2.95,18.71,4.92
ASIA (EX. NEAR EAST)         ,84402966,-0.45,25.95,2500.0,90.3,19.97,16.86,6.22
LATIN AMER. & CARIB    ,108605,-8.94,8.03,17200.0,,11.76,13.96,6.43
OCEANIA                            ,16025,,,3700.0,50.0,5.0,,
NEAR EAST                          ,2460492,2.98,19.62,800.0,,16.9,31.67,3.92
NORTHERN AFRICA                    ,273008,,,,,0.02,,
NEAR EAST                          ,21456188,0.0,61.5,800.0,50.2,2.78,42.89,8.3
SUB-SAHARAN AFRICA                 ,11502010,0.0,88.29,800.0,80.6,7.08,41.0,19.93
SUB-SAHARAN AFRICA                 ,12236805,0.0,67.69,1900.0,90.7,8.32,28.01,21.84
